"TIMESLICE","YEAR","Val"
"W1","2015",0.0101598173515982
"W1","2016",0.0101598173515982
"W1","2017",0.0101598173515982
"W1","2018",0.0101598173515982
"W1","2019",0.0101598173515982
"W1","2020",0.0101598173515982
"W1","2021",0.0101598173515982
"W1","2022",0.0101598173515982
"W1","2023",0.0101598173515982
"W1","2024",0.0101598173515982
"W1","2025",0.0101598173515982
"W1","2026",0.0101598173515982
"W1","2027",0.0101598173515982
"W1","2028",0.0101598173515982
"W1","2029",0.0101598173515982
"W1","2030",0.0101598173515982
"W1","2031",0.0101598173515982
"W1","2032",0.0101598173515982
"W1","2033",0.0101598173515982
"W1","2034",0.0101598173515982
"W1","2035",0.0101598173515982
"W1","2036",0.0101598173515982
"W1","2037",0.0101598173515982
"W1","2038",0.0101598173515982
"W1","2039",0.0101598173515982
"W1","2040",0.0101598173515982
"W1","2041",0.0101598173515982
"W1","2042",0.0101598173515982
"W1","2043",0.0101598173515982
"W1","2044",0.0101598173515982
"W1","2045",0.0101598173515982
"W1","2046",0.0101598173515982
"W1","2047",0.0101598173515982
"W1","2048",0.0101598173515982
"W1","2049",0.0101598173515982
"W1","2050",0.0101598173515982
"W2","2015",0.0101598173515982
"W2","2016",0.0101598173515982
"W2","2017",0.0101598173515982
"W2","2018",0.0101598173515982
"W2","2019",0.0101598173515982
"W2","2020",0.0101598173515982
"W2","2021",0.0101598173515982
"W2","2022",0.0101598173515982
"W2","2023",0.0101598173515982
"W2","2024",0.0101598173515982
"W2","2025",0.0101598173515982
"W2","2026",0.0101598173515982
"W2","2027",0.0101598173515982
"W2","2028",0.0101598173515982
"W2","2029",0.0101598173515982
"W2","2030",0.0101598173515982
"W2","2031",0.0101598173515982
"W2","2032",0.0101598173515982
"W2","2033",0.0101598173515982
"W2","2034",0.0101598173515982
"W2","2035",0.0101598173515982
"W2","2036",0.0101598173515982
"W2","2037",0.0101598173515982
"W2","2038",0.0101598173515982
"W2","2039",0.0101598173515982
"W2","2040",0.0101598173515982
"W2","2041",0.0101598173515982
"W2","2042",0.0101598173515982
"W2","2043",0.0101598173515982
"W2","2044",0.0101598173515982
"W2","2045",0.0101598173515982
"W2","2046",0.0101598173515982
"W2","2047",0.0101598173515982
"W2","2048",0.0101598173515982
"W2","2049",0.0101598173515982
"W2","2050",0.0101598173515982
"W3","2015",0.0101598173515982
"W3","2016",0.0101598173515982
"W3","2017",0.0101598173515982
"W3","2018",0.0101598173515982
"W3","2019",0.0101598173515982
"W3","2020",0.0101598173515982
"W3","2021",0.0101598173515982
"W3","2022",0.0101598173515982
"W3","2023",0.0101598173515982
"W3","2024",0.0101598173515982
"W3","2025",0.0101598173515982
"W3","2026",0.0101598173515982
"W3","2027",0.0101598173515982
"W3","2028",0.0101598173515982
"W3","2029",0.0101598173515982
"W3","2030",0.0101598173515982
"W3","2031",0.0101598173515982
"W3","2032",0.0101598173515982
"W3","2033",0.0101598173515982
"W3","2034",0.0101598173515982
"W3","2035",0.0101598173515982
"W3","2036",0.0101598173515982
"W3","2037",0.0101598173515982
"W3","2038",0.0101598173515982
"W3","2039",0.0101598173515982
"W3","2040",0.0101598173515982
"W3","2041",0.0101598173515982
"W3","2042",0.0101598173515982
"W3","2043",0.0101598173515982
"W3","2044",0.0101598173515982
"W3","2045",0.0101598173515982
"W3","2046",0.0101598173515982
"W3","2047",0.0101598173515982
"W3","2048",0.0101598173515982
"W3","2049",0.0101598173515982
"W3","2050",0.0101598173515982
"W4","2015",0.0101598173515982
"W4","2016",0.0101598173515982
"W4","2017",0.0101598173515982
"W4","2018",0.0101598173515982
"W4","2019",0.0101598173515982
"W4","2020",0.0101598173515982
"W4","2021",0.0101598173515982
"W4","2022",0.0101598173515982
"W4","2023",0.0101598173515982
"W4","2024",0.0101598173515982
"W4","2025",0.0101598173515982
"W4","2026",0.0101598173515982
"W4","2027",0.0101598173515982
"W4","2028",0.0101598173515982
"W4","2029",0.0101598173515982
"W4","2030",0.0101598173515982
"W4","2031",0.0101598173515982
"W4","2032",0.0101598173515982
"W4","2033",0.0101598173515982
"W4","2034",0.0101598173515982
"W4","2035",0.0101598173515982
"W4","2036",0.0101598173515982
"W4","2037",0.0101598173515982
"W4","2038",0.0101598173515982
"W4","2039",0.0101598173515982
"W4","2040",0.0101598173515982
"W4","2041",0.0101598173515982
"W4","2042",0.0101598173515982
"W4","2043",0.0101598173515982
